date,price_65_m1,raw_price_65_m1,contract_month_65_m1,price_62_m1,raw_price_62_m1,contract_month_62_m1
2022-08-29,93.82989178916601,114.6,2022-09,71.24741626643589,102.3,2022-09
2022-08-30,90.1454719545129,110.1,2022-09,68.04372012933321,97.7,2022-09
2022-08-31,92.92106822995159,113.49,2022-09,70.3420238798634,101.0,2022-09
2022-09-01,88.64294954333573,107.33,2022-10,66.94233463405038,95.5,2022-10
2022-09-02,87.89138815244377,106.42,2022-10,66.1011744082822,94.3,2022-10
2022-09-05,90.6746429736591,109.79,2022-10,68.41436502914468,97.6,2022-10
2022-09-06,89.79093892063227,108.72,2022-10,68.06388160174127,97.1,2022-10
2022-09-07,89.33669851954372,108.17,2022-10,67.95873657352026,96.95,2022-10
2022-09-08,92.21906033736018,111.66,2022-10,70.16678216616171,100.1,2022-10
2022-09-09,94.79584224898981,114.78,2022-10,72.09444101688044,102.85,2022-10
2022-09-12,93.98646844341383,113.8,2022-10,71.7089092467367,102.3,2022-10
2022-09-13,95.01057407495895,115.04,2022-10,72.62016615798555,103.6,2022-10
2022-09-14,92.85499689888417,112.43,2022-10,70.4121205653441,100.45,2022-10
2022-09-15,92.78066665143331,112.34,2022-10,70.48221725082477,100.55,2022-10
2022-09-16,90.63334839174195,109.74,2022-10,68.7648484565481,98.1,2022-10
2022-09-19,89.85701025169969,108.8,2022-10,68.30922000092367,97.45,2022-10
2022-09-20,89.28714502124315,108.11,2022-10,67.04747966227141,95.65,2022-10
2022-09-21,88.91549378398886,107.66,2022-10,66.83718960582937,95.35,2022-10
2022-09-22,91.31057953518308,110.56,2022-10,68.94009017024979,98.35,2022-10
2022-09-23,90.93066938154537,110.1,2022-10,67.50310811789583,96.3,2022-10
2022-09-26,89.26236827209286,108.08,2022-10,67.04747966227141,95.65,2022-10
2022-09-27,92.26035491927732,111.71,2022-10,68.20407497270264,97.3,2022-10
2022-09-28,90.2369204053374,109.26,2022-10,66.55680286390664,94.95,2022-10
2022-09-29,90.79026780302709,109.93,2022-10,67.08252800501175,95.7,2022-10
2022-09-30,90.64986622450881,109.76,2022-10,66.8722379485697,95.4,2022-10
2022-10-03,88.71286789590548,107.17,2022-11,65.59034201345334,92.1,2022-11
