date,price_65_m1,price_62_m1,Ukraine Concentrate fines,lump premium,IOCJ Import margin,rebar steel margin ,indian pellet premium,(IOCJ+SSF)/2-PBF,62 Index,65 Index,IOCJ Inventory,IOCJ Weekly shipment,Y
2022-07-12,96.91459820154824,72.88404195334805,1162.0,0.104,35.81,10.0,11.0,12.5,105.8,118.5,840.42,298.5,2.5137477767351877
2022-07-13,99.38166476586429,74.755529478541,1210.0,0.1,23.45,-19.0,10.2,7.5,109.4,121.5,840.42,298.5,-8.025649414304644
2022-07-14,91.7173113060558,69.38366713770935,1187.0,0.1,62.91,25.0,10.25,13.0,100.25,113.4,840.42,298.5,-3.987725428154
2022-07-15,88.13184123258316,66.64575020270485,1126.0,0.0725,18.02,-15.0,10.3,15.0,96.6,108.2,840.42,298.5,3.46632906536972
2022-07-18,91.24034510362137,69.93818195998877,1145.0,0.0725,9.56,85.0,9.3,4.5,100.9,112.2,840.42,373.8,-3.317144888517004
2022-07-19,88.26341811601334,67.09629349580685,1135.0,0.0725,12.48,119.0,9.15,3.5,96.45,108.7,878.31,373.8,2.0290283842222223
2022-07-20,90.07260026317844,68.65586643346765,1135.0,0.0725,2.97,194.0,8.85,7.0,97.55,110.2,878.31,373.8,-1.5549837171658438
2022-07-21,88.68281943194707,67.68546549447872,1093.0,0.0705,-7.84,163.0,8.85,5.0,96.4,109.0,878.31,373.8,4.903741352166236
2022-07-22,93.13998635814472,71.98295536714403,1071.0,0.058,-1.71,217.0,8.25,-0.5,101.9,113.5,878.31,373.8,2.338675522592757
2022-07-25,95.34389915560035,73.4732139520199,1071.0,0.044,0.85,187.0,8.0,2.5,104.0,114.6,878.31,252.0,6.316834015644505
2022-07-26,101.56090689767676,77.56276076633046,1075.0,0.05,-29.88,197.0,7.5,-12.0,111.7,122.7,843.01,252.0,0.3959761123718924
2022-07-27,101.96386110318171,77.80536100107769,1075.0,0.05,-49.13,187.0,8.1,-16.5,111.05,122.6,843.01,252.0,5.362141534131597
2022-07-28,107.5805493146079,81.2710786403239,1080.0,0.0675,-37.2,204.0,7.65,-25.0,117.95,129.7,843.01,252.0,-2.5549117491161937
2022-07-29,104.86677609386024,80.16204899576512,1080.0,0.0675,-25.52,253.0,7.05,-18.0,114.0,125.2,843.01,252.0,0.046834752241620724
2022-08-01,104.9159016916556,79.32630217739052,1080.0,0.086,7.18,359.0,7.05,-4.5,112.9,124.2,843.01,408.9,0.2182726155026845
2022-08-02,105.14515448136736,79.46559331378627,1090.0,0.108,6.31,354.0,7.05,-8.5,113.3,124.7,832.09,408.9,-3.6154246855987378
2022-08-03,101.41160904891888,76.81906172226667,1075.0,0.108,10.67,360.0,7.05,3.5,108.1,119.9,832.09,408.9,-3.299437574100559
2022-08-04,98.12019399662876,73.65018836926292,1050.0,0.104,0.62,362.0,7.05,-8.0,103.8,120.7,832.09,408.9,2.4155166423839187
2022-08-05,100.51916068896956,75.70473263110051,1070.0,0.104,11.37,358.0,7.05,-13.0,106.95,119.8,832.09,408.9,1.9679641488107622
2022-08-08,102.5169349993148,77.55034018834445,1071.0,0.104,7.39,330.0,7.05,-7.5,108.8,122.2,832.09,390.7,-1.6995294490448467
2022-08-09,100.78935147684412,76.81906172226667,1059.0,0.104,8.41,308.0,6.7,-10.0,108.8,122.2,875.9,390.7,-0.4070009688296757
2022-08-10,100.379971495216,76.22707439258465,1059.0,0.098,7.98,274.0,6.7,-10.0,108.4,120.8,875.9,390.7,1.7945676003785775
2022-08-11,102.19761861364486,78.00303638163071,1059.0,0.098,6.58,256.0,6.7,-10.5,110.6,122.9,875.9,390.7,-1.974174147150223
2022-08-12,100.19984430329964,76.22707439258465,1059.0,0.098,9.39,267.0,6.7,-12.5,108.85,121.3,875.9,390.7,-3.75486357959163
2022-08-15,96.50723686901397,73.51089723286715,1050.0,0.098,28.0,288.0,6.7,-9.0,104.4,117.3,875.9,333.3,-0.2548421358828518
2022-08-16,96.26160888003707,73.51089723286715,1050.0,0.098,33.28,290.0,6.7,-9.0,104.05,116.7,881.3,333.3,-3.4790632328082336
2022-08-17,92.97019382774695,70.72507450495176,1040.0,0.104,27.23,234.0,6.7,-2.0,100.4,113.1,881.3,333.3,0.1320132204923038
2022-08-18,93.0930078222354,70.96883399364437,1040.0,0.104,30.7,243.0,6.7,-0.5,100.6,112.9,881.3,333.3,-0.5910130553850818
2022-08-19,92.5444386468537,70.3420238798634,1040.0,0.104,16.82,226.0,6.7,2.5,99.7,114.0,881.3,333.3,0.8018723849609536
2022-08-22,93.28951021341688,70.79472007314965,1040.0,0.101,24.45,220.0,6.7,1.0,100.65,113.6,881.3,365.2,1.6278923144036939
2022-08-23,94.82059134470607,72.22245422120629,1050.0,0.101,12.17,216.0,6.7,-2.0,102.3,114.6,879.46,365.2,0.29315420201319714
2022-08-24,95.0989697322132,72.50103649399782,1050.0,0.101,12.61,212.0,6.7,1.0,102.5,116.6,879.46,365.2,-0.5525352915829315
2022-08-25,94.5749633557292,72.08316308481051,1050.0,0.101,10.59,218.0,6.7,-2.5,102.25,115.9,879.46,365.2,2.3697588683687534
2022-08-26,96.842928453949,73.82430228975763,1070.0,0.101,13.53,206.0,6.7,0.5,105.8,118.1,879.46,365.2,-3.1606890703637363
2022-08-29,93.829891789166,71.24741626643589,1060.0,0.101,16.18,156.0,6.7,0.5,101.75,114.2,879.46,335.9,-4.005876055200475
2022-08-30,90.1454719545129,68.04372012933321,1050.0,0.098,27.52,116.0,6.7,8.0,97.6,109.6,963.14,335.9,3.0325683584413574
2022-08-31,92.9210682299516,70.3420238798634,1055.0,0.098,12.98,119.0,6.7,4.0,100.95,112.6,963.14,335.9,-4.713390608954775
2022-09-01,88.64294954333573,66.94233463405038,1050.0,0.097,38.38,113.0,6.1,6.0,95.6,108.5,963.14,335.9,-0.8514671325209692
2022-09-02,87.89138815244377,66.1011744082822,1050.0,0.097,28.56,108.0,6.1,-0.5,95.0,107.3,963.14,335.9,3.117592107841795
2022-09-05,90.6746429736591,68.41436502914468,1070.0,0.097,24.23,132.0,6.05,-3.5,98.0,110.6,963.14,454.0,-0.9793680403752815
2022-09-06,89.79093892063227,68.06388160174127,1063.0,0.097,26.5,122.0,6.05,-3.5,97.3,108.7,1006.62,454.0,-0.5071706200690088
2022-09-07,89.33669851954372,67.95873657352026,1050.0,0.097,24.3,126.0,6.05,1.0,96.9,108.0,1006.62,454.0,3.1754476240016096
2022-09-08,92.21906033736018,70.16678216616171,1060.0,0.097,13.48,118.0,6.05,-3.0,97.1,112.1,1006.62,454.0,2.755871279800209
2022-09-09,94.7958422489898,72.09444101688044,1070.0,0.0935,-0.76,124.0,6.05,-3.5,103.65,114.5,1006.62,454.0,-0.8574730987985817
2022-09-12,93.98646844341384,71.7089092467367,1070.0,0.0935,-0.76,124.0,6.05,-3.5,101.95,114.2,1006.62,317.3,1.0837372280506088
2022-09-13,95.01057407495895,72.62016615798555,1075.0,0.094,6.15,122.0,6.05,0.5,104.25,116.5,1048.26,317.3,-2.294908821106838
2022-09-14,92.85499689888417,70.4121205653441,1073.0,0.094,17.76,116.0,6.05,5.0,100.8,113.5,1048.26,317.3,-0.08008186573814537
2022-09-15,92.78066665143332,70.48221725082477,1060.0,0.105,19.12,95.0,6.05,5.5,101.05,113.0,1048.26,317.3,-2.3416055473457384
2022-09-16,90.63334839174196,68.7648484565481,1060.0,0.105,28.15,98.0,6.05,7.0,98.45,110.0,1048.26,317.3,-0.8602597208987225
2022-09-19,89.85701025169969,68.30922000092367,1060.0,0.105,30.38,92.0,6.05,6.0,97.7,109.5,1048.26,329.0,-0.6362107117162132
2022-09-20,89.28714502124315,67.04747966227141,1050.0,0.105,28.53,91.0,6.05,10.0,96.65,109.1,1077.73,329.0,-0.4171114171868956
2022-09-21,88.91549378398886,66.83718960582937,1047.0,0.105,24.33,84.0,6.05,6.0,96.4,108.4,1077.73,329.0,2.65802468865487
2022-09-22,91.31057953518308,68.94009017024979,1050.0,0.105,11.59,91.0,6.55,11.5,98.75,110.6,1077.73,329.0,-0.4169316290725782
2022-09-23,90.93066938154536,67.50310811789583,1050.0,0.105,13.32,100.0,6.55,11.0,99.6,111.2,1077.73,329.0,-1.8517350076690686
2022-09-26,89.26236827209286,67.04747966227141,1050.0,0.14,11.07,87.0,6.55,19.5,96.05,109.3,1077.73,303.8,3.3034533930813517
2022-09-27,92.26035491927732,68.20407497270264,1045.0,0.165,1.56,119.0,6.55,18.0,97.6,111.2,1136.41,303.8,-2.2175864615185334
2022-09-28,90.2369204053374,66.55680286390664,1045.0,0.193,4.71,120.0,6.55,22.5,95.5,109.3,1136.41,303.8,0.6113436623200579
2022-09-29,90.79026780302708,67.08252800501175,1045.0,0.193,4.08,121.0,6.55,14.5,95.85,110.0,1136.41,303.8,-0.1547635613197344
2022-09-30,90.6498662245088,66.8722379485697,1045.0,0.193,10.18,128.0,6.55,8.5,95.95,110.0,1136.41,303.8,-2.1599510562762045
2022-10-03,88.71286789590548,65.59034201345334,1045.0,0.193,10.18,128.0,6.55,8.5,95.3,108.0,1136.41,344.2,1.0304106021194686
2022-10-04,89.6317004363968,66.55176396479061,1045.0,0.193,10.18,128.0,6.55,8.5,95.5,108.0,1136.41,344.2,0.18453594459850095
2022-10-05,89.79725584909794,66.6229804056304,1045.0,0.193,10.18,128.0,6.55,8.5,95.7,108.5,1136.41,344.2,0.5515733785302483
2022-10-06,90.29392208720137,66.9434543894095,1045.0,0.193,10.18,128.0,6.55,8.5,95.8,108.5,1136.41,344.2,-0.07336757482441338
2022-10-07,90.2276999221209,67.22832015276869,1045.0,0.193,10.18,128.0,6.55,8.5,95.8,108.5,1136.41,344.2,2.893511085945224
2022-10-10,92.87658652533914,68.79508185124422,1075.0,0.193,12.78,67.0,6.55,10.0,98.75,112.7,1136.41,344.1,-2.2898323112693597
2022-10-11,90.77403278403466,67.29953659360848,1075.0,0.2325,-4.53,55.0,6.55,11.5,97.05,111.0,1165.4,344.1,-0.9068902901142099
2022-10-12,89.95453349116403,66.9434543894095,1054.0,0.24,2.61,44.0,6.55,15.5,96.5,110.0,1165.4,344.1,-2.4310795365776343
2022-10-13,87.79403535541415,65.41230091135385,1042.0,0.24,10.5,50.0,6.55,14.0,94.2,108.2,1165.4,344.1,0.9477854461194696
2022-10-14,88.6300901895549,66.8722379485697,1042.0,0.24,1.85,48.0,6.55,12.0,96.15,108.7,1165.4,344.1,-2.4774338167603887
2022-10-17,86.46131428316998,65.34108447051405,1042.0,0.23,6.84,19.0,6.55,13.5,93.75,106.5,1165.4,294.3,0.3726890452630942
2022-10-18,86.78414733793721,65.87520777681253,1042.0,0.23,2.97,0.0,6.55,13.0,94.8,106.5,1166.56,294.3,-0.7179468927828616
2022-10-19,86.16331454030794,65.62595023387325,1042.0,0.23,7.73,-5.0,6.55,9.5,93.75,105.8,1166.56,294.3,-2.638007648317378
2022-10-20,83.92003869820749,64.16601319665739,1031.0,0.1985,15.64,-20.0,6.55,17.5,91.4,103.0,1166.56,294.3,0.9229324226383947
2022-10-21,84.69814913790285,64.59331184169618,1031.0,0.16,11.12,-33.0,6.55,8.0,93.0,104.1,1166.56,294.3,-0.14670646672549081
2022-10-24,84.573982578377,64.48648718043648,1031.0,0.16,15.86,-41.0,6.55,6.0,93.0,104.1,1166.56,296.6,-2.046840628215752
2022-10-25,82.8604840569202,63.062158363640535,1031.0,0.16,16.51,-45.0,6.55,7.5,89.5,101.9,1257.19,296.6,-2.1304253673447784
2022-10-26,81.11387445292318,61.495396665165,1017.0,0.16,27.76,-42.0,6.55,2.5,87.8,100.3,1257.19,296.6,-5.205090885177615
2022-10-27,76.99982244729988,58.6111308111532,994.0,0.16,54.72,-19.0,6.55,6.0,82.5,94.9,1257.19,296.6,-0.8745939244901149
2022-10-28,76.32932302586026,57.07997733309757,967.0,0.16,33.79,-61.0,6.55,-1.0,81.85,93.1,1257.19,296.6,-2.715198400321262
2022-10-31,74.28471367900119,56.01173072050061,951.0,0.1515,33.91,-69.0,6.55,-1.0,79.5,90.8,1257.19,383.2,0.5936064919012458
2022-11-01,74.72698393568362,56.8098253292124,951.0,0.1465,45.42,-51.0,6.55,1.5,80.15,91.1,1238.17,383.2,3.0355349495339508
2022-11-02,77.03012715916199,58.55112265731087,945.0,0.1465,24.84,-30.0,6.55,-2.5,83.05,93.3,1238.17,383.2,1.2915904445295172
2022-11-03,78.03149377806562,59.4217713213601,945.0,0.1345,9.26,-28.0,6.55,-4.0,83.75,94.0,1238.17,383.2,4.567385612711533
2022-11-04,81.67813721523967,62.650426783876,950.0,0.1305,-1.88,-11.0,6.55,-6.0,88.05,98.4,1238.17,383.2,-0.07154172720692457
2022-11-07,81.6197241624703,62.54159570086985,950.0,0.1305,5.69,-2.0,6.55,-6.0,87.95,98.0,1238.17,270.5,1.86372253564022
2022-11-08,83.15515297812254,63.6661835586001,954.0,0.112,0.61,-10.0,6.55,-10.0,89.05,100.1,1218.72,270.5,0.47054199047696826
2022-11-09,83.5473549038598,64.10150789062472,954.0,0.1075,0.48,-18.0,6.55,-11.0,89.55,100.5,1218.72,270.5,-2.181023447960645
2022-11-10,81.74489498983326,62.46904164553241,954.0,0.111,0.78,-8.0,6.55,-9.5,88.15,98.6,1218.72,270.5,4.939275532957647
2022-11-11,85.88387701463495,66.06046738473549,964.0,0.111,-9.01,-14.0,6.55,-12.5,92.25,103.2,1218.72,270.5,2.3525978197892963
2022-11-14,87.9283338615632,68.30964310019601,964.0,0.111,6.68,-18.0,6.5,-12.0,95.3,106.1,1218.72,349.4,1.3948016153720109
2022-11-15,89.16335269154433,68.6724133768832,964.0,0.115,6.63,-9.0,6.5,-13.0,95.7,106.8,1196.05,349.4,2.1113850359841733
2022-11-16,91.06594926746124,70.88531206467499,964.0,0.135,-11.74,14.0,6.5,-14.0,98.1,109.0,1196.05,349.4,0.18309993213949138
2022-11-17,91.23284370394518,70.23232556663807,964.0,0.1535,-3.61,0.0,6.5,-20.0,98.35,108.7,1196.05,349.4,0.9195676397891546
2022-11-18,92.07566060818908,71.68340667338678,964.0,0.1535,-6.28,-7.0,6.5,-16.0,99.1,110.7,1196.05,349.4,-3.0924606741180707
2022-11-21,89.27183407525891,69.21656879191397,964.0,0.147,5.69,-26.0,10.8,-19.5,96.25,107.4,1196.05,344.6,-1.4974146157258732
2022-11-22,87.94502330521159,67.4752714638155,954.0,0.147,4.42,-11.0,11.6,-13.0,94.2,106.1,1250.08,344.6,2.121746886452674
2022-11-23,89.8309304374801,69.25284581958269,954.0,0.147,-8.6,-7.0,11.6,-19.0,95.2,107.2,1250.08,344.6,0.4264003494307957
2022-11-24,90.21478764139316,69.50678501326371,954.0,0.1485,-8.83,-47.0,12.65,-16.0,96.45,107.9,1250.08,344.6,3.1144385701765738
2022-11-25,93.06868250526853,72.37267019909243,954.0,0.149,-25.08,-52.0,13.35,-25.0,99.65,112.1,1250.08,344.6,-0.8102312959626298
2022-11-28,92.31765754109078,71.2843593690309,954.0,0.148,-16.75,-58.0,12.9,-21.5,98.9,111.0,1250.08,312.0,2.473009124683218
2022-11-29,94.62914548639334,73.1344877801355,969.0,0.1545,-18.02,-79.0,12.9,-19.5,101.25,113.6,1292.4,312.0,-0.15002429677034407
2022-11-30,94.487285215382,73.38842697381654,969.0,0.1545,-18.28,-88.0,12.9,-23.0,101.15,113.6,1292.4,312.0,1.7656470864077136
2022-12-01,96.1704125318722,74.70744013959656,969.0,0.1545,-34.93,-101.0,11.6,-23.5,103.1,115.7,1292.4,312.0,3.9969833965808705
2022-12-02,100.09218209197012,77.71185901720662,979.0,0.1585,-45.83,-111.0,11.6,-24.0,107.3,119.3,1292.4,312.0,2.1065489420868095
2022-12-05,102.22303785718188,79.54382174745666,990.0,0.1585,-38.33,-127.0,10.95,-19.0,109.6,122.4,1292.4,393.0,-0.21110758083838693
2022-12-06,102.00746490039002,79.32398621982665,990.0,0.1585,-24.43,-124.0,10.95,-18.0,109.7,121.7,1312.85,393.0,-1.6389779321565088
2022-12-07,100.34921138660656,77.49202348957662,980.0,0.1335,-19.17,-143.0,10.95,-21.0,107.45,119.9,1312.85,393.0,2.8267267154249907
2022-12-08,103.22628123302088,80.09341056653167,990.0,0.1335,-29.48,-137.0,10.95,-25.5,110.7,122.4,1312.85,393.0,2.0196281594063135
2022-12-09,105.33226319552588,81.81545553296671,1000.0,0.1335,-14.01,-143.0,10.65,-27.5,112.4,125.1,1312.85,393.0,-1.9072415376387497
2022-12-12,103.34235897898571,80.23996758495167,990.0,0.1335,-7.67,-102.0,10.0,-25.5,110.25,123.8,1312.85,284.7,-0.5389981272382722
2022-12-13,102.78684405186824,79.50718249285165,990.0,0.134,-9.82,-105.0,9.9,-29.0,110.3,122.9,1389.02,284.7,-0.19378286241709555
